;Gebietsname;Wahlberechtigte;Abgegebene;Ungültige;Gültige;ÖVP;SPÖ;FPÖ;GRÜNE;NEOS;BIER;MFG;BGE;LMP;GAZA;KPÖ;KEINE;
G20511;Hüttenberg;1092;830;4;826;132;204;416;10;32;17;;;4;;7;4;
G20512;Kappel am Krappfeld;1579;1259;14;1245;358;226;502;39;62;30;;;3;;18;7;
G20513;Klein St. Paul;1474;1084;10;1074;256;219;462;29;54;29;;;6;;11;8;
G20515;Liebenfels;2716;2070;17;2053;436;462;816;67;162;44;;;9;;33;24;
G20518;Metnitz;1566;1270;12;1258;350;213;551;28;74;19;;;7;;12;4;
G20519;Micheldorf;760;572;3;569;104;143;242;20;34;12;;;1;;5;8;
G20520;Mölbling;1049;833;5;828;153;133;419;19;59;19;;;7;;12;7;
G20523;St. Georgen am Längsee;2882;2225;25;2200;403;550;882;80;178;46;;;14;;31;16;
G20527;Sankt Veit an der Glan;9409;6740;60;6680;1209;2009;2417;293;404;161;;;26;;109;52;
G20530;Straßburg;1627;1277;16;1261;331;170;615;27;72;23;;;3;;14;6;
G20531;Weitensfeld im Gurktal;1637;1298;11;1287;374;200;598;24;47;19;;;1;;20;4;
G20534;Frauenstein;2877;2269;21;2248;442;520;876;127;176;43;;;14;;33;17;
G20599;Wahlkarten - Sankt Veit an der Glan;0;618;9;609;144;120;196;29;69;22;;;3;;18;8;
G20600;Spittal an der Drau;59858;47167;507;46660;10374;9090;20377;1670;3186;951;;;215;;492;305;
G20601;Bad Kleinkirchheim;1186;923;5;918;236;147;355;39;104;15;;;6;;12;4;
G20602;Baldramsdorf;1530;1223;13;1210;202;244;628;26;67;22;;;3;;13;5;
G20603;Berg im Drautal;1019;782;9;773;226;163;248;33;60;19;;;3;;15;6;
G20604;Dellach im Drautal;1295;979;16;963;263;204;327;40;83;29;;;3;;8;6;
G20605;Großkirchheim;1054;855;6;849;259;75;400;26;57;17;;;1;;8;6;
G20607;Flattach;929;726;3;723;160;95;390;16;37;12;;;0;;5;8;
G20608;Gmünd in Kärnten;2128;1660;23;1637;356;323;711;59;112;32;;;8;;23;13;
G20609;Greifenburg;1346;1044;13;1031;254;191;415;54;74;14;;;9;;9;11;
G20610;Heiligenblut am Großglockner;781;613;6;607;256;41;214;30;38;15;;;4;;5;4;
G20611;Irschen;1581;1312;27;1285;371;276;464;44;73;29;;;3;;16;9;
G20613;Kleblach-Lind;937;766;19;747;174;233;268;19;25;12;;;2;;7;7;
G20616;Lendorf;1444;1179;17;1162;243;263;532;33;52;21;;;3;;8;7;
G20618;Mallnitz;574;483;8;475;119;149;128;18;45;9;;;0;;6;1;
G20619;Malta;1570;1173;6;1167;211;231;562;37;74;32;;;5;;7;8;
G20620;Millstatt am See;2746;2104;18;2086;587;323;768;131;187;35;;;11;;25;19;
G20622;Mörtschach;631;499;6;493;141;44;252;9;22;13;;;2;;8;2;
G20624;Mühldorf;823;626;8;618;82;133;335;13;35;11;;;1;;7;1;
G20625;Oberdrauburg;936;734;8;726;209;138;304;20;29;12;;;2;;7;5;
G20627;Obervellach;1722;1334;16;1318;284;233;646;32;76;19;;;8;;16;4;
G20630;Radenthein;4589;3510;33;3477;615;815;1569;107;223;67;;;14;;44;23;
G20631;Rangersdorf;1369;1094;8;1086;204;157;627;16;50;14;;;7;;6;5;
G20632;Rennweg am Katschberg;1377;1118;19;1099;352;189;431;35;55;14;;;5;;15;3;
G20633;Sachsenburg;1003;809;6;803;144;167;420;13;37;10;;;1;;5;6;
G20634;Seeboden am Millstätter See;5264;3998;44;3954;918;586;1676;206;393;100;;;18;;42;15;
G20635;Spittal an der Drau;11381;8339;73;8266;1527;1952;3506;323;577;182;;;41;;97;61;
